% ARFF file Created by Marsyas (ArffFileSink)
@relation mfcc.arff
@attribute MFCC0_Power_powerFFT_AudioCh0 real
@attribute MFCC1_Power_powerFFT_AudioCh0 real
@attribute MFCC2_Power_powerFFT_AudioCh0 real
@attribute MFCC3_Power_powerFFT_AudioCh0 real
@attribute MFCC4_Power_powerFFT_AudioCh0 real
@attribute MFCC5_Power_powerFFT_AudioCh0 real
@attribute MFCC6_Power_powerFFT_AudioCh0 real
@attribute MFCC7_Power_powerFFT_AudioCh0 real
@attribute MFCC8_Power_powerFFT_AudioCh0 real
@attribute MFCC9_Power_powerFFT_AudioCh0 real
@attribute MFCC10_Power_powerFFT_AudioCh0 real
@attribute MFCC11_Power_powerFFT_AudioCh0 real
@attribute MFCC12_Power_powerFFT_AudioCh0 real

@data
-48.438839,6.370837,0.792569,1.813294,0.481197,0.203770,0.765354,0.595587,0.104009,-0.971073,-0.793095,0.193444,0.004934
-47.712288,7.220025,1.226048,1.657819,0.307225,0.208198,0.555764,0.723682,0.402566,0.355728,-0.450369,0.153239,-0.089702
-47.169426,6.546547,0.700003,1.198640,0.672072,0.326592,0.491322,0.792277,0.392699,0.472551,0.079126,-0.136682,0.130631
-46.934579,6.525314,0.975150,1.820316,0.092545,-0.298875,0.823450,1.163326,-0.098310,-0.678693,-0.781319,0.188455,0.136189
-49.110756,8.267132,-0.617005,1.659493,0.192360,0.196348,0.947677,0.614898,0.822093,0.313188,-0.749196,0.664110,0.363634
-46.794962,5.870952,1.044530,1.356273,-0.216237,-0.104463,0.251596,0.781191,0.486269,-0.515772,-0.278831,0.488966,-0.180279
-45.488420,5.917775,0.859299,1.147684,0.579739,0.867515,0.570319,0.244348,0.016474,-0.862904,-0.844391,0.226455,0.604572
-45.895480,6.133855,0.939979,1.719556,0.884091,0.243856,0.589834,0.516891,0.394688,-0.136709,-0.451765,0.114454,-0.034361
-47.694466,5.885675,0.200519,1.585995,1.200450,0.948316,0.306614,0.322925,0.307614,-0.435773,-0.595316,0.581072,0.382759
-44.591977,5.584498,0.442187,1.036620,0.597602,0.394080,0.622547,0.664132,-0.125611,-0.375431,-0.207280,-0.023320,0.160970
-45.794060,5.452239,1.036864,1.393039,0.245808,0.449727,0.299578,0.418121,0.203315,-0.488289,-0.594751,0.242090,0.109993
-43.212500,5.208207,0.830711,1.190124,0.330157,0.472218,0.472442,0.565144,0.161263,-0.120707,-0.044405,0.234617,0.024730
-45.979650,5.587146,0.555878,1.254502,1.278159,1.199219,0.230607,-0.007077,0.084289,-0.128407,-0.548921,0.044821,0.468310
-50.280186,8.141105,-0.301245,1.900698,0.770817,-0.166071,-0.151104,0.420681,0.619713,0.493012,-0.548842,0.746802,-0.045644
-43.945822,5.595166,1.146430,1.397873,0.669249,0.448596,0.109798,0.181909,0.123154,0.000588,0.017362,0.298130,0.089301
-45.940504,5.672429,0.960478,1.303808,0.451336,0.595195,0.198823,0.373123,0.111895,-0.284424,-0.256539,0.339468,-0.147699
-43.707461,5.367376,0.839455,0.922232,0.362356,0.547929,0.326023,0.413370,0.549309,0.275639,0.190810,0.499422,0.051848
-47.868656,5.545555,0.462704,1.871446,0.811909,-0.070533,-0.180853,0.051522,0.059525,0.627214,0.381283,0.768544,0.070371
-51.194569,6.999844,-0.572456,2.111637,0.326175,0.660749,1.183979,0.654948,-0.456499,-0.090341,-0.764061,0.767835,-0.071403
-45.533308,5.380409,0.812224,1.237186,0.677819,0.677118,0.627991,0.990508,0.358481,0.007428,0.071090,0.689428,0.630351
-47.438249,5.605323,0.325014,1.347136,0.841260,0.206586,0.018713,0.323557,0.112774,-0.321327,-0.276549,-0.099911,0.066446
-44.570324,5.360705,0.524452,1.238340,0.884984,0.714285,0.598342,0.698688,0.222147,-0.285971,-0.122295,0.291726,0.334010
-48.282932,6.081638,0.099051,1.082670,1.046372,0.618625,0.999738,1.191044,0.508819,0.047281,-0.368669,0.286080,0.058468
-47.540514,4.303737,1.953523,1.106446,1.719218,-0.015827,1.695996,0.777672,-0.099173,-0.968850,-0.869806,-0.331135,0.621951
-44.176108,5.035752,0.648619,0.887474,0.540192,0.515680,0.645112,0.909457,0.237094,0.154299,-0.130629,0.228347,0.578472
-49.542258,5.914445,0.897021,1.263820,1.382484,-0.246768,1.027810,2.373677,0.680259,0.050695,-0.937997,-0.460966,-0.718667
-45.372634,5.443682,0.718241,1.218906,0.709716,0.478212,0.402445,0.382984,0.170925,-0.115194,-0.104239,0.066640,0.192350
-47.381135,5.424959,0.163351,1.177473,0.883773,0.938503,1.343835,1.456941,-0.034756,-0.557682,-0.397841,-0.027835,0.129379
-49.174999,6.653122,0.518467,1.490645,0.444284,-0.091152,1.178890,0.689978,0.161526,-0.106129,-0.254501,-0.001038,-0.253195
-46.375396,5.524105,0.486094,0.931330,0.262381,0.630623,0.566085,0.556588,0.349186,-0.046400,-0.136921,0.281118,-0.071143
-50.059514,5.701885,1.025594,2.207150,0.702160,0.673359,0.886255,0.903963,0.463559,0.050854,0.123866,0.285522,-0.329782
-49.442162,7.136197,0.012412,1.573573,0.985267,0.240517,1.148434,0.157488,-0.215778,-0.347289,-0.081551,0.414116,0.187058
-51.862315,6.967820,-0.500893,1.615913,0.593146,0.846580,1.312313,0.683181,0.267868,-0.633206,-0.509395,0.386118,-0.616388
-50.012384,5.635361,0.998976,1.848132,0.497406,1.074450,1.446468,0.600654,0.044646,-0.539469,0.066978,0.647941,-0.019836
-52.103080,7.154787,0.045711,2.618540,1.421991,0.964351,1.684696,-0.498412,-0.760328,-0.285562,0.274061,0.805528,0.434474
-51.079499,4.494908,-0.228586,1.432223,0.716880,0.755972,1.107755,0.423412,0.382306,0.249573,-0.543904,-0.711869,-0.613790
-51.931171,7.145531,0.410357,2.087608,0.564842,0.129594,1.392542,-0.230535,-0.412237,-0.356150,-0.553262,0.436271,-0.059710
-51.080143,6.386637,0.188709,2.185276,1.462871,0.558952,1.737322,-0.305574,-0.074581,0.059647,-0.083275,-0.193074,0.055635
-49.634949,5.778896,0.688713,1.646936,0.900150,0.753817,0.620147,0.178334,0.173344,-0.200126,-0.297978,0.422359,-0.066138
-51.214146,6.036023,0.893074,2.063279,0.603767,0.308636,0.944804,0.305262,0.156271,0.340441,0.698318,1.232255,0.505969
-49.583597,5.663561,0.390275,1.568341,1.070339,0.677699,0.793503,0.360459,-0.099372,0.641575,-0.155473,-0.572687,-0.021283
-51.641134,6.843672,0.432088,2.328775,0.618985,-0.207787,0.637328,1.225413,0.869410,0.545913,-0.188524,-0.057936,-0.239179
-48.908497,5.231989,0.457665,1.167692,0.207216,0.111402,0.922663,0.897310,0.456001,0.369377,0.315224,0.445425,0.176993
-51.654417,6.342490,0.469278,2.604475,0.654554,-1.132383,0.815958,1.129158,1.048735,0.887579,-0.473772,-0.123654,0.171484
